0,0,1592359,0,02015465;0,1173084,0,2179232,0,0189124;0,2388035,0,178939,0,01716459;0,3491707,0,1212685,0,01500854;0,4559775,0,05913425,0,01269893;0,56931,0,01119411,0,01026989;0,6886992,0,0,007466644;0,8057777,0,02498843,0,00455656;0,912934,0,08720452,0,001922906;0,9858342,0,197748,0,0002323581;1,0,3339503,0;0,9548332,0,4597519,0,001104537;0,8691271,0,5537339,0,00316192;0,7603465,0,6166677,0,005395686;0,6360654,0,6318913,0,007724677;0,5210645,0,5811054,0,01008466;0,4525147,0,4684685,0,01167545;0,5099459,0,3461014,0,01153783;0,6306321,0,307325,0,009491464;0,7058618,0,3818464,0,007097153;Air
0,0,2025181,0,01717713;0,117676,0,1250745,0,01588967;0,244084,0,06950086,0,01408807;0,3747242,0,03214793,0,01193539;0,5048169,0,007095671,0,009352725;0,6350964,0,0,006515907;0,7640681,0,01719967,0,003578434;0,8841953,0,0813989,0,001148054;0,9677007,0,1998609,0;1,0,3429725,0,00027106;0,9807132,0,4840001,0,001717552;0,9100592,0,6003363,0,003984772;0,8029381,0,6810814,0,006454407;0,672169,0,7172747,0,008766922;0,5347134,0,6909953,0,01055886;0,4710198,0,5605322,0,01115221;0,5284712,0,4290996,0,01024431;0,6532688,0,3696867,0,008300393;0,7629537,0,4586419,0,006586062;0,7524535,0,4987809,0,00627001;Air
1,0,15468,0,01449133;0,8933081,0,09963884,0,01008281;0,776218,0,05676477,0,006700491;0,6535546,0,02244624,0,004130357;0,5267807,0,001252998,0,001977299;0,3969395,0,0,000555628;0,2689523,0,02550786,0;0,1479841,0,07362071,0,000377742;0,04607177,0,1529565,0,001530103;0,0,2725072,0,003251558;0,0300436,0,3974555,0,004954586;0,1098783,0,4986194,0,006608713;0,2211059,0,565085,0,007899272;0,3482994,0,5883817,0,009521862;0,4753001,0,5630779,0,0110711;0,5610766,0,4652024,0,01152149;0,5336977,0,3452094,0,008072197;0,4237344,0,2905991,0,004139925;0,3094281,0,3497565,0,001858944;0,3006231,0,38835,0,002990044;Air
1,0,1940328,0,01808498;0,9018169,0,217522,0,01247501;0,7917584,0,1977218,0,008806636;0,6870446,0,1469189,0,006512844;0,5898879,0,07898317,0,005427823;0,4834699,0,02656332,0,00428834;0,3677038,0,0,003164894;0,2487861,0,003626012,0,002134034;0,1358423,0,04174513,0,00138275;0,0475787,0,1219289,0,0007192116;0,0,2313096,0,0002940991;0,001597576,0,3505613,3,842653E-05;0,06027217,0,4543892,0;0,1641194,0,5130251,0,0004680775;0,2832695,0,5157845,0,001299846;0,3948771,0,4759565,0,002866256;0,4392268,0,3654672,0,003639931;0,3500094,0,2882172,0,002073823;0,2318373,0,2874861,0,0003131611;0,209631,0,3419635,0,001448105;Air
1,0,2081389,0,01970567;0,8999072,0,2268255,0,01366875;0,7887578,0,1857193,0,01088597;0,6857718,0,1199635,0,01036894;0,5806903,0,05756722,0,01040359;0,4657616,0,01652396,0,01073795;0,3447818,0,0,01094319;0,2236299,0,01662054,0,01053219;0,1146347,0,07173961,0,009574765;0,03142282,0,1601838,0,007955438;0,0,275398,0,005462671;0,03352244,0,3886008,0,002685669;0,1130894,0,4779477,0,0005700452;0,2257337,0,525525,0;0,3475239,0,5306523,0,001646097;0,4480534,0,4725475,0,005438;0,4555449,0,3580388,0,009258248;0,3427368,0,3111922,0,009515189;0,2540491,0,3946645,0,008151489;0,252319,0,4106089,0,008712874;Air
1,0,1330622,0,01044291;0,8864136,0,07359031,0,006508577;0,7578487,0,04545175,0,003387532;0,6261074,0,01902732,0,00139656;0,4913065,0,004964182,0,0002373039;0,3555349,0,0;0,2220058,0,01680326,0,001129689;0,1026812,0,0690009,0,00391705;0,0229532,0,1649484,0,008010733;0,0,2861347,0,01247228;0,04350417,0,4068847,0,01601993;0,1304634,0,5062851,0,01856115;0,2529828,0,5624639,0,01972502;0,3877407,0,5647125,0,01922008;0,5093386,0,5095536,0,01788534;0,5728899,0,398179,0,01465025;0,5017387,0,3018444,0,009216068;0,371644,0,3377978,0,007505022;0,3192129,0,4065898,0,008504541;0,3192129,0,4065898,0,008504541;Air
1,0,108615,0,01415571;0,9037817,0,1457745,0,009182438;0,7945002,0,1527688,0,005409044;0,6838549,0,1237744,0,003072598;0,5773842,0,0776166,0,001521636;0,4709617,0,0293189,0,0005930873;0,3575231,0,0;0,2404185,0,0001140131,0,0001345683;0,1283919,0,03175265,0,0009241637;0,03629563,0,1011647,0,002302187;0,0,2119152,0,002988458;0,04521934,0,3198681,0,002788662;0,1350441,0,394915,0,002745084;0,248395,0,4243304,0,002941318;0,3627458,0,3997167,0,003920296;0,4392705,0,3113347,0,004909962;0,3856317,0,2095034,0,003108775;0,2708644,0,2308107,0,00182695;0,1899239,0,2812264,0,002739603;0,1899239,0,2812264,0,002739603;Air
0,0,2397125,0;0,03342959,0,265404,0,01922616;0,1047379,0,216577,0,03747852;0,1793176,0,1443003,0,05497845;0,272671,0,07337585,0,07180993;0,3767022,0,009151262,0,08833934;0,4971778,0,0,1049473;0,6255311,0,04936796,0,120329;0,7475333,0,1538703,0,1334784;0,8523759,0,3089969,0,1428609;0,9105113,0,5100193,0,1458641;0,8991529,0,7165464,0,1411881;0,8264924,0,8823596,0,130394;0,7180033,0,9817149,0,1156688;0,6012091,1,0,09893548;0,5008244,0,9470989,0,08212364;0,4393391,0,7935776,0,06978928;0,4851564,0,6164583,0,08048574;0,5694458,0,597074,0,09869121;0,6413211,0,6315854,0,1063829;Air
1,0,2448834,0;0,8429074,0,1876333,0,005766703;0,6996558,0,1132749,0,01125373;0,5569616,0,05178181,0,0171195;0,418047,0,00646989,0,02336178;0,2869831,0,0,02998797;0,1713289,0,0325018,0,03644398;0,08350567,0,1054372,0,04208184;0,02227509,0,2039896,0,04669885;0,0,3296046,0,04941101;0,02826525,0,4688661,0,04931245;0,1045944,0,5955087,0,0462729;0,2231723,0,6770014,0,04074627;0,3598958,0,7105923,0,03430869;0,499167,0,691228,0,02788054;0,6052783,0,5988052,0,02305385;0,5413768,0,4616345,0,02508156;0,3873636,0,4238848,0,03120401;0,280779,0,4496412,0,03643173;0,280779,0,4496412,0,03643173;Air
1,0,1651341,0,0007120231;0,8810817,0,08979817,0,0007418753;0,7388968,0,037967,0,001342905;0,5868473,0,008968762,0,00211729;0,4297239,0,0,003040581;0,2725381,0,01948523,0,004052898;0,1340382,0,08717898,0,004947311;0,03980951,0,1957651,0,005296591;0,0,3279466,0,005055824;0,0326209,0,4656953,0,00412332;0,1178411,0,5890867,0,002941458;0,249555,0,6771756,0,001651348;0,4027382,0,7192301,0,0006090907;0,5545155,0,7089574,0;0,6845456,0,6636884,0,0001341133;0,7596462,0,566764,0,00126389;0,7307274,0,4279324,0,001872094;0,60953,0,3570752,0,001890962;0,4655536,0,3658881,0,002098687;0,3625716,0,4286042,0,003230413;Air
